Time,Dataset,Model,Seed,Epochs,Acc_Mean,Acc_Std,AUC_Mean,AUC_Std,F1_Mean,F1_Std,Kappa_Mean,Kappa_Std
2026-01-12 21:00:43,read,SPaRCNet,114514,50,0.5800828814506531,0.0294541450388383,0.6133567929267884,0.023096351820341175,0.5749126434326172,0.03309063384862727,0.16013246774673462,0.03600906508924697
2026-01-12 21:02:19,read,SPaRCNet,0,50,0.5707691490650177,0.046350972208377694,0.6219057083129883,0.025241584600675458,0.5576349079608918,0.07234006756739789,0.15769062340259551,0.0560783305833088
2026-01-12 21:03:39,read,SPaRCNet,1,50,0.5998476147651672,0.02784631810363473,0.6268994331359863,0.04147275514666606,0.589738643169403,0.028685983470453567,0.17953963428735734,0.050760791323874364
2026-01-12 21:03:39,read,SPaRCNet,3407,50,0.5999521493911744,0.019686685039940758,0.6267261505126953,0.022688555877950278,0.5959826111793518,0.021181610787222648,0.1868102639913559,0.042112064042094687
2026-01-12 21:06:34,read,SPaRCNet,42,50,0.6038635969161987,0.010413260619078782,0.6325318813323975,0.01272169938284359,0.5982460618019104,0.007753490308808969,0.1884264051914215,0.016593591486764956
2026-01-12 21:12:34,read,ContraWR,42,50,0.6162125945091248,0.03637312950935315,0.6714521288871765,0.021942471710513972,0.584819620847702,0.0794658366792055,0.20372693985700607,0.09556735927693959
2026-01-12 21:14:00,read,ContraWR,1,50,0.617579984664917,0.024142016239622994,0.674246346950531,0.012560391162990152,0.593220841884613,0.034017210204223845,0.22089377343654631,0.036359130303717194
2026-01-12 21:14:04,read,ContraWR,0,50,0.6001798391342164,0.031476832327675626,0.6721009135246276,0.03539409537239904,0.5782391190528869,0.020815671112549193,0.19168102145195007,0.02500548693408887
2026-01-12 21:14:21,read,ContraWR,3407,50,0.6276141405105591,0.02386091992893032,0.6795644998550415,0.013773904001398902,0.620531964302063,0.02510889862340473,0.253919979929924,0.025053400195711503
2026-01-12 21:14:39,read,ContraWR,114514,50,0.6377252817153931,0.025816193692333636,0.67289799451828,0.0326530561930308,0.630220890045166,0.02230938719539102,0.25521008372306825,0.03558275661764237
2026-01-12 21:28:00,read,CNNTransformer,1,50,0.5367068588733673,0.040799397627646686,0.6249516487121582,0.026370592336041453,0.4059294819831848,0.08271147847313014,0.026929441094398498,0.053858882188796996
2026-01-12 21:30:47,read,CNNTransformer,114514,50,0.5484304010868073,0.050228104725177615,0.6401136040687561,0.029653288118900094,0.48705936670303346,0.12176065139063716,0.12149841240607202,0.0896335197034614
2026-01-12 21:31:11,read,CNNTransformer,0,50,0.5259424805641174,0.04240376071299892,0.6076385140419006,0.02194290660231117,0.44173731207847594,0.08839885664591439,0.0699436217546463,0.06106388499920438
2026-01-12 21:34:16,read,CNNTransformer,3407,50,0.5626785516738891,0.059626404164183175,0.6394017815589905,0.027845052501322878,0.5084787607192993,0.11668519407833927,0.13895727396011354,0.08280961933708228
2026-01-12 21:34:42,read,CNNTransformer,42,50,0.5350893676280976,0.07787970303071055,0.6300530672073364,0.03021889924841046,0.43472535610198976,0.13578526705904312,0.08554562479257584,0.07387516791361701
2026-01-12 21:46:17,read,FFCL,42,50,0.5720885813236236,0.06356566129649599,0.6488407015800476,0.023703208808044506,0.5289912819862366,0.11145947749838944,0.15124889531871305,0.08863981431572876
2026-01-12 21:46:41,read,FFCL,3407,50,0.5571831166744232,0.05261699815288891,0.6547421455383301,0.022355743776239424,0.49317145347595215,0.11454789333767242,0.12382737025618554,0.08941419269812637
2026-01-12 21:46:46,read,FFCL,114514,50,0.6037890911102295,0.019258456539569747,0.64823077917099,0.02801905866751146,0.5525696873664856,0.07477375666312529,0.1441888228058815,0.09933883781586655
2026-01-12 21:46:58,read,FFCL,0,50,0.5628113627433777,0.0620498653432611,0.6367307901382446,0.026429426155932002,0.5140869975090027,0.12230498034678199,0.1424413239583373,0.08585090649389379
2026-01-12 21:47:51,read,FFCL,1,50,0.5676348805427551,0.06873914712835419,0.6426913738250732,0.018768454368462636,0.526379543542862,0.11643602855673693,0.15869970805943012,0.08989272721022136
2026-01-12 21:54:56,read,STTransformer,114514,50,0.5423964381217956,0.05430088765451466,0.5722239971160888,0.04413018429693648,0.4560803949832916,0.11485821687429942,0.07351658046245575,0.06027670895982792
2026-01-12 21:55:38,read,STTransformer,1,50,0.5314032852649688,0.05628404284786715,0.5731712460517884,0.023110836792724933,0.46553789973258974,0.10995732560148029,0.08217514008283615,0.054053053394062814
2026-01-12 21:55:56,read,STTransformer,42,50,0.5669086813926697,0.015355439500929756,0.563218754529953,0.050972918006119076,0.5075409710407257,0.06754281073297652,0.0847356054931879,0.06747534635834297
2026-01-12 21:56:41,read,STTransformer,3407,50,0.5518943428993225,0.02932479070439973,0.5830289483070373,0.03118522473524208,0.49911906123161315,0.0779986562526799,0.08573829382658005,0.04719973675469291
2026-01-12 21:57:21,read,STTransformer,0,50,0.5379152715206146,0.04177546873258619,0.5902820467948914,0.002780889461705028,0.49863439202308657,0.10472963161653293,0.09391725361347199,0.05083228480503492
2026-01-12 22:08:08,read,BIOT,1,50,0.5714486837387085,0.0294871308021658,0.6433870315551757,0.017516056542978636,0.548534893989563,0.0394333185929722,0.15255314260721206,0.02912277180252218
2026-01-12 22:08:13,read,BIOT,114514,50,0.5696613430976868,0.07543431271083145,0.6381436944007873,0.0321640294263394,0.519937789440155,0.1360181328197583,0.1447757288115099,0.08130703331361956
2026-01-12 22:08:38,read,BIOT,42,50,0.5873388767242431,0.045086704623962616,0.6569835186004639,0.028231941752909363,0.545523589849472,0.06342833854878915,0.16466398388147355,0.07085968313272091
2026-01-12 22:08:46,read,BIOT,3407,50,0.5994417905807495,0.05026464748344121,0.6463833451271057,0.02729506820800086,0.5621788322925567,0.09565180561297389,0.18322149589657782,0.08389204477312365
2026-01-12 22:09:15,read,BIOT,0,50,0.5804112792015076,0.0064019719016656495,0.633902621269226,0.04296661237355837,0.5389002799987793,0.0422205169571065,0.11629256308078766,0.03122292948919248
2026-01-12 22:22:35,read_new,SPaRCNet,1,50,0.6117480993270874,0.02750905496055237,0.635144567489624,0.035302177226320106,0.6057823538780213,0.01834508483954942,0.18691835403442383,0.03969414508633784
2026-01-12 22:22:49,read_new,SPaRCNet,0,50,0.5889920115470886,0.024623203325108995,0.635266637802124,0.0180390059286376,0.5902309536933898,0.023915071287303104,0.17888008654117585,0.03808714454926023
